iter	RMSE
0	69.84155361
1	66.23102403
2	63.12125271
3	60.89356076
4	58.51390818
5	56.24999775
6	54.29791075
7	52.74509066
8	51.2957002
9	50.00288504
10	48.81542542
11	48.04430108
12	47.2175288
13	46.40586057
14	45.76657848
15	45.22333801
16	44.22213435
17	43.85183258
18	43.01008241
19	42.76267905
20	42.44693956
21	42.17872955
22	41.61835931
23	41.38935344
24	41.13381939
25	40.95327193
26	40.75001943
27	40.64197362
28	40.38926625
29	40.11963797
30	39.99050342
31	39.43639458
32	39.35695872
33	39.15740426
34	39.0453552
35	38.97088124
36	38.88181296
37	38.78605172
38	38.23417455
39	38.20536694
40	38.14420013
41	38.02624051
42	37.72472247
43	37.65677356
44	37.59933736
45	37.30011412
46	37.02436362
47	36.96719318
48	36.87515347
49	36.83467737
50	36.58604815
51	36.42074483
52	36.4083697
53	35.88007414
54	35.8213986
55	35.68847395
56	35.57144829
57	35.55107985
58	35.50074167
59	35.47680723
60	35.45216829
61	35.36786214
62	35.32856524
63	35.31766573
64	35.25602869
65	35.22306016
66	34.94704434
67	34.82053695
68	34.80183845
69	34.79334641
70	34.56308402
71	34.55756016
72	34.48353874
73	34.47939456
74	34.47799827
75	34.28068806
76	34.24235727
77	34.21760676
78	34.0298693
79	33.94430696
80	33.91844306
81	33.72669439
82	33.59942561
83	33.55773294
84	33.20387405
85	33.19971234
86	33.0725368
87	33.01782305
88	32.81505779
89	32.8058964
90	32.70804914
91	32.63820275
92	32.6023903
93	32.20815701
94	32.15855355
95	32.06402339
96	31.95462568
97	31.77825511
98	31.73828804
99	31.58323993
100	31.33003505
101	31.329098
102	31.26049928
103	31.18924047
104	31.1688681
105	31.06029416
106	31.03457324
107	31.00362613
108	30.86751808
109	30.84621001
110	30.82581694
111	30.76931029
112	30.61496504
113	30.51808965
114	30.47381462
115	30.45391565
116	30.44782976
117	30.33026888
118	30.12932271
119	30.11957954
120	30.11534047
121	30.10771638
122	29.99078338
123	29.97160868
124	29.93848012
125	29.92073647
126	29.86775732
